text_column,label
mmg 8,gambling
resende,safe
sun,gambling
zbet,gambling
spimovel,safe
bancodeprecos,safe
geekhunter,safe
maxxxmoveis,safe
tuapalavra,safe
ric,safe
ensite,safe
k 8 cc 11,gambling
arraial,safe
ozbet,gambling
spcbrasil,safe
blackchippoker,gambling
rocco,safe
censanet,safe
sportstoto,gambling
loonybingo,gambling
go-vip,safe
gogobolaku,gambling
pinayflix,safe
8 x 055,gambling
i 9 bet 18,gambling
tff,safe
vin 68,gambling
royalpanda,gambling
hi 88 vip 4,gambling
247 sports,safe
castelobranco,safe
danviet,safe
realizesolucoesfinanceiras,safe
louisvillecasino,gambling
porngameshub,safe
playunix,safe
nfnoticias,safe
sportsbookusa,gambling
tely,safe
b 69,gambling
sintegra,safe
iforbet,gambling
we 1 win 1,gambling
winamax,gambling
noblebet,gambling
vf 456,gambling
10 bet,gambling
i 9 bet 15,gambling
umd,safe
keirin,safe
gsp,safe
mybookie,gambling
789 bet,gambling
vgnoticias,safe
8 xbet 253,gambling
ezpointweb,safe
lookbingo,gambling
futebolpeneira,safe
drogariasminasmais,safe
csgohollow,gambling
tik 88,gambling
csgoatse,gambling
fidelimax,safe
trochoivuaclub,gambling
bookmakerclub,gambling
xtovideo,safe
fb 88 sg,gambling
pushnami,safe
navita,safe
mym,safe
bluetree,safe
ouraring,safe
k 8 asia 85,gambling
betive,gambling
milfporn,safe
17 c-foto,gambling
q 85 o 3,gambling
i 9 bet 12,gambling
mobilesim,safe
nhat 1,gambling
cursor,safe
itnettelecom,safe
pruffme,safe
sueddeutsche,safe
k 8 vvip,gambling
medgrupo,safe
wily,safe
camaqua,safe
news 24,safe
h 680 amx-data,gambling
aventuraecia,safe
folha,safe
vinnarum,gambling
iubenda,safe
play 888,gambling
magazinemedica,safe
justforbettors,gambling
ewinner,gambling
xhamsterlive,safe
blogdomadeira,safe
vw 250,gambling
casadeapostas,gambling
myotelecom,safe
sectorbet,gambling
vw 220,gambling
qh 217,gambling
ndyj-th,gambling
nuro,safe
i 9 bet 87,gambling
marsbet 300,gambling
divvino,safe
yiptelecom,safe
bingoyard,gambling
sponteweb,safe
i 9 bet 14,gambling
nxb 8,gambling
europe-bet,gambling
expedia,safe
pasarbola,gambling
delicious,safe
dadobet,gambling
lojaalbano,safe
lotto-niedersachsen,gambling
cacay,safe
edocs,safe
allyoubet,gambling
bongacams,safe
spaindiana,safe
iterable,safe
jogartop,gambling
vwinpro,gambling
csgohunt,gambling
relaysteering,safe
techlab-cdn,safe
casineto,gambling
jackpotcitycasino,gambling
theenemy,safe
brapix,gambling
dolynkcloud,safe
pikakasino,gambling
opap,gambling
brianpeterson,safe
novatecnet,safe
megasportsworld,gambling
supersportsbook,gambling
78 win 07,gambling
funtaikhoan,gambling
samsunghk,gambling
freeslotshub,gambling
caesarsports,gambling
rubinot,safe
may 88,gambling
ticketsvaleencantado,safe
csgolounge,gambling
bangcdn,safe
br 4 bets,gambling
lobopro,gambling
snapinsta,safe
gamedoithuong,gambling
revistaduasrodas,safe
centraldavisao,safe
javwow,safe
cloudbet,gambling
unovacursos,safe
resultadofacil,safe
5 shbet,gambling
triobet,gambling
ucar,safe
frsys,safe
masterxx 4,gambling
parentsquare,safe
maxbet,gambling
trangchu,gambling
pixbet,gambling
gem-vt,gambling
storspiller,gambling
444 sports,gambling
k 8 asia 97,gambling
divulgajobs,safe
somaorcamento,safe
xfree,safe
betika,gambling
portalgoitaca,safe
incluster,safe
dabeme,safe
csgopoker,gambling
k 8 vip 68,gambling
faster,safe
k 8 tip 28,gambling
converse,safe
riojogos,gambling
ole,safe
trovao 777,gambling
userapi,safe
g 2 netsul,safe
k 88,gambling
kingneptunescasino,gambling
fzi,safe
hitclub,gambling
2 cloud,safe
xo 88 bet,gambling
skyclub,gambling
auth 0,safe
kissjav,safe
autoavaliar,safe
sagreseduca,safe
c 54 bb,gambling
betprestige,gambling
masteronline,safe
usbet,gambling
sportzbookz,gambling
rubik 88,gambling
mentalfloss,safe
spinland,gambling
idsecure,safe
seconds,safe
lekmanga,safe
bet 777,gambling
altarendablog,safe
pequenobrilho,safe
betmira,gambling
lojaclamper,safe
jwpltx,safe
csgoaimpot,gambling
planetwin 365,gambling
oxbet,gambling
luckylandslots,gambling
nature,safe
2024 xemwc,gambling
webprestador,safe
csgoldpot,gambling
5 yms-mail,gambling
hawaiicasino,gambling
iflexaccmm,safe
appsflyer,safe
maturetube,safe
caesars,gambling
santacruz,safe
owl-mi,gambling
fuq,safe
guiaserra,safe
cnte,safe
americascardroom,gambling
bytedance,safe
thethaovip,gambling
ttkswgqjy,gambling
alo 888,gambling
adspower,safe
nike-ff,gambling
ms 88 ca,gambling
2 betesi,gambling
assistive,safe
edicoescnbb,safe
powermix,safe
overtheodds,gambling
ji 8 q-go,gambling
rodadagratis,gambling
tin 888,gambling
pbdoc,safe
setorreciclagem,safe
22 ee 88,gambling
orgfree,gambling
i 9 bet 90,gambling
uitm,safe
v 0328,gambling
ifrn,safe
bulbeenergia,safe
33 win 9,gambling
workers,safe
powercrm,safe
madbookie,gambling
we 1 win 3,gambling
pokergolden,gambling
yvjxh 1-shop,gambling
callofduty,safe
bingostreet,gambling
betdna,gambling
kaboo,gambling
eestiloto,gambling
ngsites,safe
5 lgmb,gambling
connectesite,safe
sportsbooks,gambling
jornalsulcatarinense,safe
okvip,gambling
housieskill,gambling
w 88 city,gambling
ybbbet,gambling
pro-factory,gambling
top 88,gambling
pokerstars,gambling
betcityru,gambling
sieunhacai,gambling
mobiuspace,safe
playrik 79,gambling
remote-service-pf,safe
babymee,safe
vao 789 club,gambling
orizzontescuola,safe
astralmapa,safe
keplr,safe
vwinbanh,gambling
upprovedor,safe
hi 88 vip 0,gambling
okbet,gambling
health,safe
ruacep,safe
gravatar,safe
kto,gambling
bobregister,gambling
dfbertuah,gambling
labimagem,safe
ku 6108,gambling
mxvietnam,gambling
vipapostas,safe
digitalgratis,safe
csgofast 123,gambling
pub 88,gambling
ptsecurity,safe
thantai 68,gambling
caiapoleiloes,safe
lazvegas,gambling
anageimoveis,safe
betsson,gambling
x 1 ucb-shop,gambling
xvideoporno,safe
authenticfeet,safe
k 8 tip 24,gambling
bodog 888,gambling
linkbk 8,gambling
ezsportsbetting,gambling
martinello,safe
fun 88 epl,gambling
wavesnow,safe
altotieteweb,safe
deca,gambling
tha,gambling
c 3 x 7 m 0 k,gambling
fb 88 go,gambling
firefaucet,safe
grupopuralife,safe
esquadrialider,safe
hethongxacthuc,gambling
sagifit,safe
gamezy,gambling
fb 9,gambling
ninpe,safe
6 rh 1-social,gambling
fastly,safe
v 5 h 4 m 2 v,gambling
betzone,gambling
bom 88,gambling
mayansports,gambling
laudoonline,safe
nhat 9,gambling
msconcursos,safe
ku 11,gambling
x 8 vn,gambling
keonhacai-fun 88,gambling
rxhhhdyqyk,gambling
webmail,safe
spreadex,gambling
premiercasino,gambling
miallegra,safe
casino-classic,gambling
cloudns,safe
apachelounge,safe
y 1 o 2 a-shop,gambling
willfinanceira,safe
islandcasino,gambling
metodooba,safe
taisunwin,gambling
uberbb 53,gambling
legendsportsbook,gambling
win 79 play,gambling
betsonic,gambling
preventsenior,safe
samsungmobile,safe
bet 88011,gambling
winamigo,gambling
